county,state,annual_v_cumulative,total_pop_change,natural_change,births,deaths,total,international,domestic
Wirt County,West Virginia,Annual ,-70,-44,50,94,-26,0,-26
Wood County,West Virginia,Annual ,-190,-240,759,999,50,45,5
Wyoming County,West Virginia,Annual ,-298,-180,207,387,-118,-4,-114
Adams County,Wisconsin,Annual ,-176,-181,107,288,7,11,-4
Ashland County,Wisconsin,Annual ,93,-31,171,202,126,55,71
Barron County,Wisconsin,Annual ,-112,-124,435,559,14,101,-87
Bayfield County,Wisconsin,Annual ,29,-49,120,169,80,11,69
Brown County,Wisconsin,Annual ,"1,835",663,"3,002","2,339","1,157",898,259
Buffalo County,Wisconsin,Annual ,24,25,129,104,-2,0,-2
Burnett County,Wisconsin,Annual ,98,-100,98,198,198,14,184
Calumet County,Wisconsin,Annual ,299,81,461,380,216,84,132
Chippewa County,Wisconsin,Annual ,374,-25,647,672,399,22,377
Clark County,Wisconsin,Annual ,9,176,537,361,-167,80,-247
Columbia County,Wisconsin,Annual ,164,-48,564,612,209,136,73
Crawford County,Wisconsin,Annual ,17,-40,156,196,56,24,32
Dane County,Wisconsin,Annual ,"8,608","1,683","5,570","3,887","6,898","5,922",976
Dodge County,Wisconsin,Annual ,134,-318,730,"1,048",450,218,232
Door County,Wisconsin,Annual ,-54,-240,192,432,190,52,138
Douglas County,Wisconsin,Annual ,24,16,510,494,8,46,-38
Dunn County,Wisconsin,Annual ,308,81,421,340,227,65,162
Eau Claire County,Wisconsin,Annual ,772,134,"1,077",943,632,214,418
Florence County,Wisconsin,Annual ,-22,-45,33,78,24,0,24
Fond du Lac County,Wisconsin,Annual ,134,-126,989,"1,115",260,372,-112
Forest County,Wisconsin,Annual ,125,-36,87,123,161,7,154
Grant County,Wisconsin,Annual ,436,53,573,520,383,45,338
Green County,Wisconsin,Annual ,249,11,349,338,239,34,205
Green Lake County,Wisconsin,Annual ,-47,-57,207,264,11,22,-11
Iowa County,Wisconsin,Annual ,82,6,250,244,75,33,42
Iron County,Wisconsin,Annual ,-42,-45,55,100,4,3,1
Jackson County,Wisconsin,Annual ,89,-51,192,243,141,28,113
Jefferson County,Wisconsin,Annual ,274,-75,780,855,350,176,174
Juneau County,Wisconsin,Annual ,33,-154,218,372,188,22,166
Kenosha County,Wisconsin,Annual ,887,154,"1,695","1,541",723,558,165
Kewaunee County,Wisconsin,Annual ,18,-29,192,221,46,41,5
La Crosse County,Wisconsin,Annual ,343,-22,"1,083","1,105",356,141,215
Lafayette County,Wisconsin,Annual ,247,104,257,153,142,130,12
Langlade County,Wisconsin,Annual ,100,-123,161,284,224,12,212
Lincoln County,Wisconsin,Annual ,31,-129,248,377,160,54,106
Manitowoc County,Wisconsin,Annual ,188,-242,690,932,432,218,214
Marathon County,Wisconsin,Annual ,253,23,"1,457","1,434",228,378,-150
Marinette County,Wisconsin,Annual ,230,-238,382,620,471,43,428
Marquette County,Wisconsin,Annual ,-108,-129,121,250,22,20,2
Menominee County,Wisconsin,Annual ,65,-4,61,65,68,0,68
Milwaukee County,Wisconsin,Annual ,"2,880","2,340","11,133","8,793",524,"6,128","-5,604"
Monroe County,Wisconsin,Annual ,177,69,559,490,110,71,39
Oconto County,Wisconsin,Annual ,296,-58,343,401,357,13,344
Oneida County,Wisconsin,Annual ,-14,-312,244,556,300,40,260
Outagamie County,Wisconsin,Annual ,"1,562",518,"2,068","1,550","1,042",546,496
Ozaukee County,Wisconsin,Annual ,436,11,821,810,426,253,173
Pepin County,Wisconsin,Annual ,73,17,84,67,57,10,47
Pierce County,Wisconsin,Annual ,279,99,421,322,180,46,134
Polk County,Wisconsin,Annual ,-14,-151,414,565,139,23,116
Portage County,Wisconsin,Annual ,579,-49,539,588,624,228,396
Price County,Wisconsin,Annual ,-11,-120,95,215,110,9,101
Racine County,Wisconsin,Annual ,"1,244",36,"2,100","2,064","1,211",589,622
Richland County,Wisconsin,Annual ,-128,-61,165,226,-66,43,-109
Rock County,Wisconsin,Annual ,"1,018",26,"1,811","1,785",990,230,760
Rusk County,Wisconsin,Annual ,-84,-56,127,183,-26,13,-39
St Croix County,Wisconsin,Annual ,798,331,"1,099",768,462,161,301
Sauk County,Wisconsin,Annual ,343,-14,729,743,357,299,58
Sawyer County,Wisconsin,Annual ,216,-117,142,259,334,11,323
Shawano County,Wisconsin,Annual ,151,-69,419,488,222,24,198
Sheboygan County,Wisconsin,Annual ,336,-53,"1,136","1,189",386,471,-85
Taylor County,Wisconsin,Annual ,44,14,226,212,32,48,-16
Trempealeau County,Wisconsin,Annual ,-138,88,356,268,-224,99,-323
Vernon County,Wisconsin,Annual ,208,37,392,355,174,18,156
Vilas County,Wisconsin,Annual ,34,-182,169,351,216,1,215
Walworth County,Wisconsin,Annual ,21,-66,919,985,82,268,-186
Washburn County,Wisconsin,Annual ,-14,-140,114,254,127,9,118
Washington County,Wisconsin,Annual ,231,-75,"1,253","1,328",302,156,146
Waukesha County,Wisconsin,Annual ,"3,016",42,"3,653","3,611","2,990","1,399","1,591"
Waupaca County,Wisconsin,Annual ,-153,-222,445,667,74,14,60
Waushara County,Wisconsin,Annual ,65,-93,187,280,160,5,155
Winnebago County,Wisconsin,Annual ,"1,202",-46,"1,592","1,638","1,240",451,789
Wood County,Wisconsin,Annual ,-94,-253,683,936,160,180,-20
Albany County,Wyoming,Annual ,664,129,333,204,532,634,-102
Big Horn County,Wyoming,Annual ,23,14,149,135,8,18,-10
Campbell County,Wyoming,Annual ,435,253,559,306,184,40,144
Carbon County,Wyoming,Annual ,-67,-15,158,173,-50,14,-64
Converse County,Wyoming,Annual ,-84,27,153,126,-110,-2,-108
Crook County,Wyoming,Annual ,179,-9,86,95,188,-1,189
Fremont County,Wyoming,Annual ,-79,-75,424,499,-4,-9,5
Goshen County,Wyoming,Annual ,-27,-41,119,160,15,6,9
Hot Springs County,Wyoming,Annual ,-27,-40,39,79,14,0,14
Johnson County,Wyoming,Annual ,11,-24,70,94,34,2,32
Laramie County,Wyoming,Annual ,704,119,"1,192","1,073",580,87,493
Lincoln County,Wyoming,Annual ,91,59,214,155,30,26,4
Natrona County,Wyoming,Annual ,442,65,844,779,379,15,364
Niobrara County,Wyoming,Annual ,-26,-13,23,36,-12,0,-12
Park County,Wyoming,Annual ,260,-59,261,320,323,54,269
Platte County,Wyoming,Annual ,-69,-56,73,129,-14,31,-45
Sheridan County,Wyoming,Annual ,397,1,307,306,398,73,325
Sublette County,Wyoming,Annual ,-26,0,79,79,-28,-2,-26
Sweetwater County,Wyoming,Annual ,-15,37,426,389,-55,91,-146
Teton County,Wyoming,Annual ,-96,75,179,104,-172,218,-390
Uinta County,Wyoming,Annual ,-103,1,228,227,-104,-6,-98
Washakie County,Wyoming,Annual ,-74,-17,79,96,-57,-3,-54
Weston County,Wyoming,Annual ,38,-28,42,70,67,-1,68
#VALUE!,#VALUE!,Cumulative,"8,595,252","1,425,410","15,413,421","13,988,011","7,169,842","7,169,842",(X)
Autauga County,Alabama,Cumulative,"2,664",262,"3,036","2,774","2,370",318,"2,052"
Baldwin County,Alabama,Cumulative,"29,841","-1,539","10,396","11,935","31,287","2,530","28,757"
Barbour County,Alabama,Cumulative,-868,-365,"1,133","1,498",-464,75,-539
Bibb County,Alabama,Cumulative,-26,-175,"1,053","1,228",154,6,148
Blount County,Alabama,Cumulative,"1,033",-671,"2,867","3,538","1,661",142,"1,519"
Bullock County,Alabama,Cumulative,-454,-142,432,574,-297,40,-337
Butler County,Alabama,Cumulative,-792,-406,873,"1,279",-388,32,-420
Calhoun County,Alabama,Cumulative,-10,"-1,895","5,595","7,490","1,826",223,"1,603"
Chambers County,Alabama,Cumulative,-879,-623,"1,678","2,301",-267,295,-562
Cherokee County,Alabama,Cumulative,"1,154",-896,954,"1,850","2,027",147,"1,880"
Chilton County,Alabama,Cumulative,"2,250",-250,"2,344","2,594","2,458",404,"2,054"
Choctaw County,Alabama,Cumulative,-612,-380,494,874,-230,29,-259
Clarke County,Alabama,Cumulative,-949,-420,"1,226","1,646",-527,5,-532
Clay County,Alabama,Cumulative,4,-280,686,966,284,10,274
Cleburne County,Alabama,Cumulative,850,-223,755,978,"1,053",14,"1,039"
Coffee County,Alabama,Cumulative,"2,888",94,"2,922","2,828","2,767",492,"2,275"
Colbert County,Alabama,Cumulative,"1,553",-903,"2,665","3,568","2,427",215,"2,212"
Conecuh County,Alabama,Cumulative,-485,-343,535,878,-141,9,-150
Coosa County,Alabama,Cumulative,-88,-353,362,715,270,-8,278
Covington County,Alabama,Cumulative,178,"-1,127","1,753","2,880","1,288",-1,"1,289"
Crenshaw County,Alabama,Cumulative,-87,-283,688,971,198,106,92
Cullman County,Alabama,Cumulative,"4,743","-1,101","4,223","5,324","5,850",151,"5,699"
Dale County,Alabama,Cumulative,747,139,"2,896","2,757",580,198,382
Dallas County,Alabama,Cumulative,"-2,925",-751,"1,802","2,553","-2,156",290,"-2,446"
DeKalb County,Alabama,Cumulative,"1,495",-837,"3,451","4,288","2,303",581,"1,722"
Elmore County,Alabama,Cumulative,"3,062",-283,"3,924","4,207","3,330",162,"3,168"
Escambia County,Alabama,Cumulative,-138,-695,"1,818","2,513",540,17,523
Etowah County,Alabama,Cumulative,-208,"-2,388","4,958","7,346","2,111",421,"1,690"
Fayette County,Alabama,Cumulative,-459,-491,712,"1,203",30,-4,34
Franklin County,Alabama,Cumulative,-237,-187,"1,789","1,976",-64,465,-529
Geneva County,Alabama,Cumulative,597,-710,"1,237","1,947","1,288",92,"1,196"
Greene County,Alabama,Cumulative,-605,-184,366,550,-421,0,-421
Hale County,Alabama,Cumulative,328,-159,891,"1,050",476,3,473
Henry County,Alabama,Cumulative,"1,000",-389,718,"1,107","1,397",0,"1,397"
Houston County,Alabama,Cumulative,"2,153",-626,"5,461","6,087","2,699",630,"2,069"
Jackson County,Alabama,Cumulative,"1,217","-1,532","2,277","3,809","2,713",205,"2,508"
Jefferson County,Alabama,Cumulative,"-9,567","-1,733","33,381","35,114","-7,964","5,936","-13,900"
Lamar County,Alabama,Cumulative,-428,-350,658,"1,008",-70,-1,-69
Lauderdale County,Alabama,Cumulative,"3,942","-1,457","3,977","5,434","5,420",399,"5,021"
Lawrence County,Alabama,Cumulative,509,-693,"1,538","2,231","1,168",34,"1,134"
Lee County,Alabama,Cumulative,"13,506","2,041","7,979","5,938","11,381","3,943","7,438"
Limestone County,Alabama,Cumulative,"15,381",399,"5,050","4,651","14,875",652,"14,223"
Lowndes County,Alabama,Cumulative,-834,-305,478,783,-516,3,-519
Macon County,Alabama,Cumulative,"-1,372",-500,654,"1,154",-851,98,-949
Madison County,Alabama,Cumulative,"35,199","2,388","18,933","16,545","32,705","5,072","27,633"
Marengo County,Alabama,Cumulative,-813,-368,954,"1,322",-436,63,-499
Marion County,Alabama,Cumulative,-11,-650,"1,326","1,976",634,34,600
Marshall County,Alabama,Cumulative,"4,547",648,"6,427","5,779","3,795","1,088","2,707"
Mobile County,Alabama,Cumulative,"-2,471",-391,"21,472","21,863","-2,127","2,033","-4,160"
Monroe County,Alabama,Cumulative,-711,-433,933,"1,366",-283,11,-294
Montgomery County,Alabama,Cumulative,"-3,063","1,775","12,754","10,979","-4,790","3,532","-8,322"
Morgan County,Alabama,Cumulative,"2,632",-776,"6,218","6,994","3,337","1,255","2,082"
Perry County,Alabama,Cumulative,-792,-175,419,594,-642,36,-678
Pickens County,Alabama,Cumulative,-617,-465,775,"1,240",-144,36,-180
Pike County,Alabama,Cumulative,121,-221,"1,533","1,754",334,344,-10
Randolph County,Alabama,Cumulative,"1,101",-393,"1,049","1,442","1,496",52,"1,444"
Russell County,Alabama,Cumulative,-334,-131,"3,070","3,201",-185,133,-318
St Clair County,Alabama,Cumulative,"5,433",-957,"4,285","5,242","6,338",118,"6,220"
Shelby County,Alabama,Cumulative,"12,945","2,164","10,064","7,900","10,875","2,268","8,607"
Sumter County,Alabama,Cumulative,-736,-209,495,704,-496,72,-568
Talladega County,Alabama,Cumulative,-778,"-1,460","3,734","5,194",753,180,573
Tallapoosa County,Alabama,Cumulative,-612,"-1,201","1,603","2,804",576,183,393
Tuscaloosa County,Alabama,Cumulative,"13,077","1,551","10,738","9,187","12,633","2,517","10,116"
Walker County,Alabama,Cumulative,-85,"-1,650","3,383","5,033","1,540",322,"1,218"
Washington County,Alabama,Cumulative,-372,-137,815,952,-232,4,-236
Wilcox County,Alabama,Cumulative,-731,-209,495,704,-533,6,-539
Winston County,Alabama,Cumulative,329,-625,"1,063","1,688",959,133,826
Aleutians East Borough,Alaska,Cumulative,212,16,70,54,188,416,-228
Aleutians West Census Area,Alaska,Cumulative,192,24,107,83,166,668,-502
Anchorage Municipality,Alaska,Cumulative,"-1,646","6,015","15,416","9,401","-7,613","6,688","-14,301"
Bethel Census Area,Alaska,Cumulative,-427,979,"1,662",683,"-1,423",67,"-1,490"
Bristol Bay Borough,Alaska,Cumulative,41,24,51,27,18,33,-15
Chugach Census Area,Alaska,Cumulative,-500,86,239,153,-584,53,-637
Copper River Census Area,Alaska,Cumulative,15,-34,91,125,46,-1,47
Denali Borough,Alaska,Cumulative,-3,51,85,34,-53,40,-93
Dillingham Census Area,Alaska,Cumulative,-216,138,342,204,-351,55,-406
Fairbanks North Star Borough,Alaska,Cumulative,-716,"3,339","5,935","2,596","-3,984",955,"-4,939"
Haines Borough,Alaska,Cumulative,25,29,101,72,-3,26,-29
Hoonah-Angoon Census Area,Alaska,Cumulative,-44,-11,83,94,-33,14,-47
Juneau City and Borough,Alaska,Cumulative,-678,228,"1,174",946,-919,310,"-1,229"
Kenai Peninsula Borough,Alaska,Cumulative,"2,462",177,"2,542","2,365","2,274",202,"2,072"
Ketchikan Gateway Borough,Alaska,Cumulative,-273,33,516,483,-305,172,-477
Kodiak Island Borough,Alaska,Cumulative,-443,338,673,335,-778,529,"-1,307"
Kusilvak Census Area,Alaska,Cumulative,-422,623,924,301,"-1,055",4,"-1,059"
Lake and Peninsula Borough,Alaska,Cumulative,-161,29,87,58,-186,11,-197
Matanuska-Susitna Borough,Alaska,Cumulative,"10,535","2,099","5,799","3,700","8,463",281,"8,182"
Nome Census Area,Alaska,Cumulative,-203,384,755,371,-587,41,-628
North Slope Borough,Alaska,Cumulative,-374,268,542,274,-647,130,-777
Northwest Arctic Borough,Alaska,Cumulative,-660,271,611,340,-930,-5,-925
Petersburg Borough,Alaska,Cumulative,35,-5,119,124,44,88,-44
Prince of Wales-Hyder Census Area,Alaska,Cumulative,-13,-12,288,300,-5,12,-17
Sitka City and Borough,Alaska,Cumulative,-97,17,320,303,-104,114,-218
Skagway Municipality,Alaska,Cumulative,-123,8,38,30,-131,22,-153
Southeast Fairbanks Census Area,Alaska,Cumulative,502,190,433,243,314,167,147
Wrangell City and Borough,Alaska,Cumulative,-63,-6,92,98,-58,5,-63
Yakutat City and Borough,Alaska,Cumulative,27,4,16,12,27,5,22
Yukon-Koyukuk Census Area,Alaska,Cumulative,-246,-66,254,320,-179,74,-253
Apache County,Arizona,Cumulative,"-1,224","-1,283","3,070","4,353",24,428,-404
Cochise County,Arizona,Cumulative,333,"-1,943","5,228","7,171","2,234","1,666",568
Coconino County,Arizona,Cumulative,63,940,"5,614","4,674",-882,"1,726","-2,608"
Gila County,Arizona,Cumulative,801,"-2,115","1,936","4,051","2,920",23,"2,897"
Graham County,Arizona,Cumulative,"1,703",271,"2,019","1,748","1,362",166,"1,196"
Greenlee County,Arizona,Cumulative,-153,129,508,379,-273,163,-436
La Paz County,Arizona,Cumulative,440,-937,674,"1,611","1,361",476,885
Maricopa County,Arizona,Cumulative,"247,781","40,829","213,098","172,269","207,288","112,086","95,202"
Mohave County,Arizona,Cumulative,"13,218","-10,435","7,255","17,690","23,631",719,"22,912"
Navajo County,Arizona,Cumulative,"2,801","-1,745","5,305","7,050","4,524",381,"4,143"
Pima County,Arizona,Cumulative,"36,708","-8,417","42,462","50,879","44,478","21,214","23,264"
Pinal County,Arizona,Cumulative,"87,855","2,011","21,007","18,996","86,082","7,682","78,400"
Santa Cruz County,Arizona,Cumulative,"2,845",666,"2,370","1,704","2,162","2,121",41
Yavapai County,Arizona,Cumulative,"15,802","-8,582","7,485","16,067","24,604","1,511","23,093"
Yuma County,Arizona,Cumulative,"15,301","3,041","11,914","8,873","12,071","8,570","3,501"
Arkansas County,Arkansas,Cumulative,"-1,094",-473,818,"1,291",-605,9,-614
Ashley County,Arkansas,Cumulative,"-1,080",-499,827,"1,326",-558,0,-558
Baxter County,Arkansas,Cumulative,"1,370","-2,060","1,453","3,513","3,433",-6,"3,439"
Benton County,Arkansas,Cumulative,"37,232","6,498","16,408","9,910","30,646","5,287","25,359"
Boone County,Arkansas,Cumulative,"1,262",-649,"1,665","2,314","1,922",11,"1,911"
Bradley County,Arkansas,Cumulative,-607,-181,489,670,-424,-15,-409
Calhoun County,Arkansas,Cumulative,-50,-139,210,349,93,-2,95
Carroll County,Arkansas,Cumulative,711,-214,"1,403","1,617",911,121,790
Chicot County,Arkansas,Cumulative,-940,-438,364,802,-508,-3,-505
Clark County,Arkansas,Cumulative,-542,-237,"1,035","1,272",-309,4,-313
Clay County,Arkansas,Cumulative,-439,-407,652,"1,059",-26,15,-41
Cleburne County,Arkansas,Cumulative,926,-902,953,"1,855","1,817",-10,"1,827"
Cleveland County,Arkansas,Cumulative,-184,-234,311,545,51,7,44
Columbia County,Arkansas,Cumulative,-772,-364,"1,035","1,399",-393,89,-482
Conway County,Arkansas,Cumulative,709,-382,939,"1,321","1,094",98,996
Craighead County,Arkansas,Cumulative,"4,610","1,477","6,411","4,934","3,115",231,"2,884"
Crawford County,Arkansas,Cumulative,"2,123",-476,"3,010","3,486","2,552",445,"2,107"
Crittenden County,Arkansas,Cumulative,"-1,534",-96,"2,614","2,710","-1,401",132,"-1,533"
Cross County,Arkansas,Cumulative,-640,-352,793,"1,145",-286,162,-448
Dallas County,Arkansas,Cumulative,-402,-253,245,498,-142,-8,-134
Desha County,Arkansas,Cumulative,"-1,074",-225,464,689,-845,21,-866
Drew County,Arkansas,Cumulative,-411,-190,831,"1,021",-225,48,-273
Faulkner County,Arkansas,Cumulative,"8,124","1,164","6,198","5,034","6,870",791,"6,079"
Franklin County,Arkansas,Cumulative,482,-356,792,"1,148",831,-1,832
Fulton County,Arkansas,Cumulative,475,-495,487,982,953,-1,954
Garland County,Arkansas,Cumulative,-271,"-2,810","4,089","6,899","2,551",352,"2,199"
Grant County,Arkansas,Cumulative,587,-277,824,"1,101",865,20,845
Greene County,Arkansas,Cumulative,"1,196",-181,"2,253","2,434","1,379",47,"1,332"
Hempstead County,Arkansas,Cumulative,-960,-227,"1,010","1,237",-724,71,-795
Hot Spring County,Arkansas,Cumulative,270,-859,"1,264","2,123","1,107",-1,"1,108"
Howard County,Arkansas,Cumulative,-399,-152,657,809,-255,25,-280
Independence County,Arkansas,Cumulative,412,-249,"1,899","2,148",664,5,659
Izard County,Arkansas,Cumulative,711,-528,484,"1,012","1,256",-6,"1,262"
Jackson County,Arkansas,Cumulative,-88,-404,683,"1,087",309,34,275
Jefferson County,Arkansas,Cumulative,"-3,586",-914,"3,144","4,058","-2,660",277,"-2,937"
Johnson County,Arkansas,Cumulative,422,-179,"1,270","1,449",610,90,520
Lafayette County,Arkansas,Cumulative,-291,-247,222,469,-38,48,-86
Lawrence County,Arkansas,Cumulative,86,-279,761,"1,040",385,37,348
Lee County,Arkansas,Cumulative,-493,-245,358,603,-244,21,-265
Lincoln County,Arkansas,Cumulative,-69,-304,417,721,242,0,242
Little River County,Arkansas,Cumulative,-396,-354,499,853,-30,1,-31
Logan County,Arkansas,Cumulative,322,-520,"1,047","1,567",835,12,823
Lonoke County,Arkansas,Cumulative,"2,364",138,"3,623","3,485","2,215",200,"2,015"
Madison County,Arkansas,Cumulative,"1,332",-120,885,"1,005","1,437",20,"1,417"
Marion County,Arkansas,Cumulative,771,-712,579,"1,291","1,470",8,"1,462"
Miller County,Arkansas,Cumulative,-638,-739,"1,799","2,538",83,-72,155
Mississippi County,Arkansas,Cumulative,"-2,592",-333,"2,252","2,585","-2,225",116,"-2,341"
Monroe County,Arkansas,Cumulative,-382,-190,370,560,-183,2,-185
Montgomery County,Arkansas,Cumulative,30,-347,338,685,394,-1,395
Nevada County,Arkansas,Cumulative,-311,-222,335,557,-85,-8,-77
Newton County,Arkansas,Cumulative,-200,-250,281,531,53,-2,55
Ouachita County,Arkansas,Cumulative,-964,-629,"1,011","1,640",-342,1,-343
Perry County,Arkansas,Cumulative,228,-217,422,639,434,23,411
Phillips County,Arkansas,Cumulative,"-1,909",-305,879,"1,184","-1,586",162,"-1,748"
Pike County,Arkansas,Cumulative,-135,-244,469,713,112,11,101
Poinsett County,Arkansas,Cumulative,-665,-465,"1,236","1,701",-207,75,-282
Polk County,Arkansas,Cumulative,213,-492,878,"1,370",704,25,679
Pope County,Arkansas,Cumulative,"1,448",7,"3,049","3,042","1,411",274,"1,137"
Prairie County,Arkansas,Cumulative,-348,-316,317,633,-28,12,-40
Pulaski County,Arkansas,Cumulative,"2,084","2,446","20,945","18,499",-474,"2,815","-3,289"
Randolph County,Arkansas,Cumulative,467,-155,"1,035","1,190",636,141,495
St Francis County,Arkansas,Cumulative,"-1,268",-301,"1,132","1,433",-959,184,"-1,143"
Saline County,Arkansas,Cumulative,"7,830",-234,"5,852","6,086","8,008",421,"7,587"
Scott County,Arkansas,Cumulative,3,-267,526,793,263,5,258
Searcy County,Arkansas,Cumulative,4,-255,338,593,261,1,260
Sebastian County,Arkansas,Cumulative,"2,238",5,"6,689","6,684","2,152",683,"1,469"
Sevier County,Arkansas,Cumulative,-107,-14,846,860,-88,88,-176
Sharp County,Arkansas,Cumulative,854,-532,744,"1,276","1,394",9,"1,385"
Stone County,Arkansas,Cumulative,433,-424,518,942,852,-15,867
Union County,Arkansas,Cumulative,"-2,049",-602,"1,910","2,512","-1,454",135,"-1,589"
Van Buren County,Arkansas,Cumulative,360,-645,579,"1,224",975,27,948
Washington County,Arkansas,Cumulative,"20,322","5,415","13,802","8,387","14,774","4,671","10,103"
White County,Arkansas,Cumulative,"2,266",-642,"3,748","4,390","2,833",140,"2,693"
Woodruff County,Arkansas,Cumulative,-460,-182,265,447,-277,0,-277
Yell County,Arkansas,Cumulative,-126,-134,"1,071","1,205",6,128,-122
Alameda County,California,Cumulative,"-33,236","23,412","70,104","46,692","-55,653","73,474","-129,127"
Alpine County,California,Cumulative,-77,-47,36,83,-29,10,-39
Amador County,California,Cumulative,"1,529",-990,"1,321","2,311","2,554",155,"2,399"
Butte County,California,Cumulative,"-3,298","-2,028","8,256","10,284",-992,"1,404","-2,396"
Calaveras County,California,Cumulative,"1,221",-974,"1,537","2,511","2,241",194,"2,047"
Colusa County,California,Cumulative,237,394,"1,191",797,-173,198,-371
Contra Costa County,California,Cumulative,"6,624","11,290","48,971","37,681","-5,908","32,081","-37,989"
Del Norte County,California,Cumulative,-733,-414,"1,063","1,477",-362,11,-373
El Dorado County,California,Cumulative,"1,638","-1,129","6,461","7,590","2,891","1,244","1,647"
Fresno County,California,Cumulative,"15,476","21,685","58,602","36,917","-6,797","12,970","-19,767"
Glenn County,California,Cumulative,-615,204,"1,556","1,352",-838,196,"-1,034"
Humboldt County,California,Cumulative,"-4,087","-1,647","5,048","6,695","-2,427",605,"-3,032"
Imperial County,California,Cumulative,"2,014","3,833","10,305","6,472","-1,932","3,352","-5,284"
Inyo County,California,Cumulative,-539,-205,695,900,-336,60,-396
Kern County,California,Cumulative,"13,296","16,838","49,950","33,112","-3,395","11,404","-14,799"
Kings County,California,Cumulative,"2,429","4,074","8,917","4,843","-1,710","1,774","-3,484"
Lake County,California,Cumulative,-400,"-1,222","2,937","4,159",878,374,504
Lassen County,California,Cumulative,"-4,393",-52,"1,151","1,203","-4,437",178,"-4,615"
Los Angeles County,California,Cumulative,"-260,222","77,793","403,946","326,153","-332,363","257,229","-589,592"
Madera County,California,Cumulative,"9,178","2,861","8,858","5,997","6,375","1,305","5,070"
Marin County,California,Cumulative,"-5,925",69,"9,304","9,235","-6,061","6,089","-12,150"
Mariposa County,California,Cumulative,-80,-340,585,925,264,264,0
Mendocino County,California,Cumulative,"-2,412",-826,"3,595","4,421","-1,640","1,119","-2,759"
Merced County,California,Cumulative,"14,327","6,556","16,084","9,528","7,343","4,426","2,917"
Modoc County,California,Cumulative,-208,-243,241,484,36,97,-61
Mono County,California,Cumulative,-205,234,481,247,-462,566,"-1,028"
Monterey County,California,Cumulative,"-4,761","10,876","23,534","12,658","-16,045","8,640","-24,685"
Napa County,California,Cumulative,"-5,287",-695,"4,821","5,516","-4,615","1,601","-6,216"
Nevada County,California,Cumulative,-41,"-1,603","3,225","4,828","1,730",413,"1,317"
Orange County,California,Cumulative,"-16,821","29,756","129,729","99,973","-46,789","77,709","-124,498"
Placer County,California,Cumulative,"29,070",-918,"15,378","16,296","30,213","5,071","25,142"
Plumas County,California,Cumulative,-966,-314,571,885,-653,105,-758
Riverside County,California,Cumulative,"109,966","25,896","116,337","90,441","83,569","26,500","57,069"
Sacramento County,California,Cumulative,"26,201","18,600","75,785","57,185","6,201","46,357","-40,156"
San Benito County,California,Cumulative,"4,950","1,504","3,477","1,973","3,522",377,"3,145"
San Bernardino County,California,Cumulative,"32,617","33,727","110,889","77,162","-2,657","24,135","-26,792"
San Diego County,California,Cumulative,152,"50,328","156,252","105,924","-48,781","63,551","-112,332"
San Francisco County,California,Cumulative,"-50,866","3,609","30,972","27,363","-49,066","35,338","-84,404"
San Joaquin County,California,Cumulative,"36,876","12,218","40,179","27,961","24,612","18,994","5,618"
San Luis Obispo County,California,Cumulative,-605,"-1,233","9,990","11,223",533,"2,158","-1,625"
San Mateo County,California,Cumulative,"-21,766","9,713","31,448","21,735","-30,540","32,427","-62,967"
Santa Barbara County,California,Cumulative,"-3,717","8,525","23,517","14,992","-11,961","9,018","-20,979"
Santa Clara County,California,Cumulative,"-9,953","30,729","78,673","47,944","-36,296","118,351","-154,647"
Santa Cruz County,California,Cumulative,"-9,734","1,075","9,396","8,321","-10,511","2,978","-13,489"
Shasta County,California,Cumulative,"-1,331","-3,557","7,309","10,866","2,266","1,378",888
Sierra County,California,Cumulative,-122,-100,70,170,-17,0,-17
Siskiyou County,California,Cumulative,"-1,581","-1,216","1,501","2,717",-355,181,-536
Solano County,California,Cumulative,"1,550","3,367","19,937","16,570","-1,813","8,085","-9,898"
Sonoma County,California,Cumulative,"-3,487",-511,"18,670","19,181","-2,772","5,847","-8,619"
Stanislaus County,California,Cumulative,"3,687","7,622","29,429","21,807","-4,356","8,347","-12,703"
Sutter County,California,Cumulative,"-1,090","1,051","5,060","4,009","-2,177","2,138","-4,315"
Tehama County,California,Cumulative,"-1,454",-482,"3,177","3,659",-951,135,"-1,086"
Trinity County,California,Cumulative,-474,-354,432,786,-103,-3,-100
Tulare County,California,Cumulative,"10,425","12,172","28,491","16,319","-2,206","4,032","-6,238"
Tuolumne County,California,Cumulative,"-1,730","-1,594","1,810","3,404",-192,103,-295
Ventura County,California,Cumulative,"-8,936","7,553","36,310","28,757","-17,051","10,129","-27,180"
Yolo County,California,Cumulative,"7,384","1,537","8,087","6,550","5,278","8,797","-3,519"
Yuba County,California,Cumulative,"5,894","1,838","5,038","3,200","4,030",559,"3,471"
Adams County,Colorado,Cumulative,"23,398","11,762","28,037","16,275","11,208","8,751","2,457"
Alamosa County,Colorado,Cumulative,312,99,841,742,213,74,139
Arapahoe County,Colorado,Cumulative,"11,841","11,777","32,354","20,577",-412,"21,424","-21,836"
Archuleta County,Colorado,Cumulative,757,-166,435,601,926,34,892
Baca County,Colorado,Cumulative,-143,-170,129,299,28,49,-21
Bent County,Colorado,Cumulative,128,-128,168,296,276,-2,278
