City,County,Location.State,Location.Country,Data.Shape,Data.Encounter.duration,Data.Description.excerpt,Location.Coordinates.Latitude,Location.Coordinates.Longitude,Dates.Sighted.Year,Dates.Sighted.Month,Date.Sighted.Day,Dates.Sighted.Hour,Dates.Sighted.Minute,Dates.Documented.Year,Dates.Documented.Month,Dates.Documented.Day,lat,lon,sighted_date,year,Avg_Precip_Month_County,Avg_Temp_Month_County,sighting_type,population,data_source
TRACY,SAN JOAQUIN,CA,US,triangle,2700,a transparent looking triangle shaped craft flew west&#44 then north-west&#44 then disappeared.,37.7397222,-121.4241667,2004,3,5,22,0,2004,5,4,37.7397222,-121.4241667,2004-03-05,2004,6.18,52.6,UFO,779233,2020 Decennial Census
VALENCIA,LOS ANGELES,CA,US,light,30,Very low&#44 loud oscillating sound&#44 3 streaks of thin green light,34.4436111,-118.6086111,2004,3,5,4,30,2004,3,9,34.4436111,-118.6086111,2004-03-05,2004,6.35,53,UFO,10014009,2020 Decennial Census
CARLSBAD,SAN DIEGO,CA,US,cigar,1800,Slow moving horizontal white light seen over the Pacific,33.1580556,-117.3497222,2004,3,7,17,0,2004,3,17,33.1580556,-117.3497222,2004-03-07,2004,4.68,54.3,UFO,3298634,2020 Decennial Census
LA MESA,SAN DIEGO,CA,US,egg,300,4 objects&#44 light gray egg shaped.,32.7677778,-117.0222222,2004,3,7,13,30,2004,3,17,32.7677778,-117.0222222,2004-03-07,2004,4.68,54.3,UFO,3298634,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,cigar,1200,White streaks&#44 angled down as if landing,34.0522222,-118.2427778,2004,3,7,16,30,2004,3,9,34.0522222,-118.2427778,2004-03-07,2004,6.35,53,UFO,10014009,2020 Decennial Census
PACOIMA,NA,CA,US,disk,1800,Object was illuminated in night sky like a star&#44 but hovered in one place and rotated with lights on top&#44 bottom and sides.,34.2625,-118.4261111,2004,3,7,20,15,2004,3,17,34.2625,-118.4261111,2004-03-07,2004,NA,NA,UFO,NA,NA
CLAREMONT,LOS ANGELES,CA,US,other,900,The UFOs seemed not to move&#44 from my window I could see flashing lights to each other.,34.0966667,-117.7188889,2004,3,8,0,0,2004,3,17,34.0966667,-117.7188889,2004-03-08,2004,6.35,53,UFO,10014009,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,other,2700,Dozens&#44 maybe 100 plane trails over San Fernando Valley and Sepulveda Pass&#44 Los Angeles  ((NUFORC Note:  Contrails??  PD)),34.0522222,-118.2427778,2004,3,8,8,0,2004,3,17,34.0522222,-118.2427778,2004-03-08,2004,6.35,53,UFO,10014009,2020 Decennial Census
SAN CLEMENTE,ORANGE,CA,US,light,60.14,Video of  strange rotating lights in sky,33.426944399999996,-117.6111111,2004,3,8,0,54,2004,4,27,33.426944399999996,-117.6111111,2004-03-08,2004,5.66,57.8,UFO,3186989,2020 Decennial Census
HOLLYWOOD,NA,CA,US,changing,900,Dancing Lights  Los Angeles; Triangle; straight line; always changing shape [sic],34.0983333,-118.3258333,2004,3,9,3,12,2004,3,9,34.0983333,-118.3258333,2004-03-09,2004,NA,NA,UFO,NA,NA
LOS BANOS,MERCED,CA,US,disk,2700,Sitting stationary  the pulsating lights looked like a heart beat.  ((NUFORC Note:  Venus is very prominent in the western sky.  PD)),37.0583333,-120.8488889,2004,3,10,18,0,2004,3,23,37.0583333,-120.8488889,2004-03-10,2004,4.8,52.6,UFO,281202,2020 Decennial Census
LOS ANGELES,LOS ANGELES,CA,US,triangle,600,Strange triangular craft with red&#44 green&#44 blue&#44 and white lights over Los Angeles.  (NUFORC Note:  Star or planet??  PD)),34.0522222,-118.2427778,2004,3,12,22,0,2004,3,17,34.0522222,-118.2427778,2004-03-12,2004,6.35,53,UFO,10014009,2020 Decennial Census
